B,num_digits,density,additive_energy_mean,additive_energy_std,max_representation_count_mean,max_representation_count_std,size_sumset_mean,size_sumset_std,carry_mass_mean,carry_mass_std,carry_count_mean,carry_count_std,max_carry_cascade_length_mean,max_carry_cascade_length_std,carry_amplification_ratio_mean,carry_amplification_ratio_std,normalized_value_weighted_carry_mean,normalized_value_weighted_carry_std
10,8,0.7,104.35,73.0329954270851,4.25,1.371706582097068,13.6,1.4290224851827542,76.35,37.754435082795936,11.9,2.653696528082647,11.15,2.6611236249690506,0.09878607207639764,0.007406581878380071,0.8427789239600273,0.32164757994271453
10,8,1.0,344.0,0.0,8.0,0.0,15.0,0.0,193.55,48.285853872646044,14.6,0.6805570473787205,14.6,0.6805570473787205,0.10621420535905526,0.0018074372607056895,1.0141475776785451,0.23254315883258045
10,16,0.2,27.7,18.281713613104735,2.3,0.8013147091860318,14.4,5.335087430842802,43.2,26.64503508605012,12.0,5.109330989268041,4.7,3.2943332525637667,0.0871631317225103,0.012402589430416024,0.6767199380267515,0.4121390176687264
10,16,0.5,257.95,145.78768809470847,5.25,1.4095538674570611,27.05,3.531437757001948,198.35,104.93871645168107,25.85,4.094604922783663,21.5,7.05989413965662,0.10210437700640726,0.003834217324640191,0.7919551848495031,0.38131192637867084
10,16,0.7,889.15,295.66290816258623,9.4,1.6670175069329811,30.3,1.2182817926554554,390.95,96.65046899986949,29.55,1.6693837501494853,29.1,2.531901719220055,0.10669578896216392,0.0013080680595256812,0.9403233140089051,0.2843191340513891
10,16,1.0,2736.0,0.0,16.0,0.0,31.0,0.0,717.1,99.9299228143613,30.6,0.598243041616119,30.6,0.598243041616119,0.10869388485820244,0.0005135332482263882,0.9342312848305465,0.2864942636395526
16,8,0.2,8.5,8.804902940377803,1.5,0.6882472016116853,5.2,2.9127668163304437,28.3,30.10525395656834,4.85,2.942877217246665,2.65,2.5188761069384227,0.05568626166959758,0.008702406617821797,0.8495207793762518,0.28503678178048825
16,8,0.5,50.2,31.103562158495098,3.25,1.019545822516343,11.9,2.074912807299318,88.2,44.027025193265345,11.05,2.6650762801367183,9.35,4.171015274612721,0.06129547089387022,0.0030065546857737597,0.8103144518079614,0.3876127315519979
16,8,0.7,110.7,66.19993639685289,4.35,1.3869694338832113,13.4,1.930366749991743,139.7,67.90558460872442,13.1,2.04939015319192,12.75,2.2682012349227887,0.06293357257067725,0.0014743854222347109,0.9171580210806927,0.19734697478204308
16,8,1.0,344.0,0.0,8.0,0.0,15.0,0.0,251.65,63.48002172254461,14.7,0.47016234598162726,14.7,0.47016234598162726,0.06468538224488517,0.0006301949431563834,0.8957154637976352,0.27233077810876605
16,16,0.2,20.65,11.01804739602497,2.0,0.7254762501100116,12.65,4.196176204217609,52.2,29.4128507539423,11.1,4.216508907665328,3.35,1.460893742308382,0.056132956450383166,0.004192624057262029,0.5644729239848021,0.46739397199435523
16,16,0.5,228.4,141.66506087841213,5.2,1.5761378513048245,26.4,2.60364117505102,265.65,133.1351806089941,24.3,4.32982313969666,20.05,6.863135695798777,0.06214679701022935,0.003032558730633656,0.8239718169754651,0.29371086803991514
16,16,0.7,816.8,296.72379501198725,8.9,1.6189665319514637,29.7,1.3018205875255102,568.2,199.87459226119498,29.15,1.4964871146156007,28.7,1.894590637634032,0.06470196007607645,0.0007853006813415282,0.9286703331005614,0.2183644375784056
16,16,1.0,2736.0,0.0,16.0,0.0,31.0,0.0,1059.15,169.77020847077537,30.7,0.470162345981627,30.7,0.470162345981627,0.06569613899918617,0.00019415298963277667,0.9836657154603777,0.21599598850088295
