B,num_digits,density,trial,x,y,x_support_size,y_support_size,raw_support_size,final_support_size,size_Sx,size_Sy,size_sumset,max_representation_count,additive_energy,support_density_x,support_density_y,diameter_x,diameter_y,raw_mass_total,max_raw_mass,diagonal_mass_entropy,diagonal_mass_concentration,carry_mass,carry_count,carry_depth,carry_entropy,carry_amplification_ratio,max_carry_cascade_length,value_weighted_carry,normalized_value_weighted_carry
2,8,0.5,17,172,159,4,6,12,8,4,6,12,3,56,0.6666666666666666,0.75,5,7,24,3,3.4591479170272446,0.125,16,10,13,3.25,0.6666666666666666,10,20400,0.7459412022817025
2,8,0.5,18,234,138,5,3,10,8,5,3,10,3,27,0.7142857142857143,0.42857142857142855,6,6,15,3,3.1898980954642875,0.2,7,6,11,2.521640636343318,0.4666666666666667,5,4512,0.1397250092902267
2,8,0.5,19,245,135,6,4,14,6,6,4,14,4,52,0.75,0.5,7,7,24,4,3.6368421881310113,0.16666666666666666,18,13,15,3.5724312513221195,0.75,13,67704,2.046984126984127
2,8,0.7,0,255,252,8,6,13,8,8,6,13,6,218,1.0,1.0,7,5,48,6,3.517079563925711,0.125,40,12,15,3.4232196723355077,0.8333333333333334,12,126480,1.9682539682539681
2,8,0.7,1,155,233,5,5,14,7,5,5,14,4,57,0.625,0.625,7,7,25,4,3.623465189601647,0.16,18,12,15,3.4613201402110083,0.72,12,69744,1.9311643361484148
2,8,0.7,2,166,221,4,6,14,9,4,6,14,3,52,0.5714285714285714,0.75,6,7,24,3,3.625814583693911,0.125,15,11,15,3.3735572622751855,0.625,11,67360,1.8361227716295045
2,8,0.7,3,219,251,6,7,15,10,6,7,15,6,146,0.75,0.875,7,7,42,6,3.7310212915688235,0.14285714285714285,32,14,15,3.6556390622295662,0.7619047619047619,14,107100,1.9483708999617966
2,8,0.7,4,188,239,5,7,13,8,5,7,13,4,113,0.8333333333333334,0.875,5,7,35,4,3.543289445392768,0.11428571428571428,27,12,15,3.4760236127938087,0.7714285714285715,12,85904,1.9118668209739162
2,8,0.7,5,173,157,5,5,13,7,5,5,13,4,59,0.625,0.625,7,7,25,4,3.543465189601647,0.16,18,11,13,3.350209029099897,0.72,11,20664,0.7607967306063842
2,8,0.7,6,252,203,6,5,13,9,6,5,13,3,76,1.0,0.625,5,7,30,3,3.6225797618424918,0.1,21,12,15,3.535174565635903,0.7,12,98224,1.920087575259989
2,8,0.7,7,221,253,6,7,14,9,6,7,14,5,152,0.75,0.875,7,7,42,5,3.6519939958787404,0.11904761904761904,33,13,15,3.544097907106122,0.7857142857142857,13,110168,1.970346788761111
2,8,0.7,8,239,246,7,6,14,9,7,6,14,6,152,0.875,0.8571428571428571,7,6,42,6,3.656749494455401,0.14285714285714285,33,13,15,3.558953210005306,0.7857142857142857,13,116312,1.9782971051467837
2,8,0.7,9,243,238,6,6,14,9,6,6,14,5,112,0.75,0.8571428571428571,7,6,36,5,3.6524474880231264,0.1388888888888889,27,13,15,3.5500976868678826,0.75,13,114296,1.9762769305252965
