trial,x,y,B,density,num_digits,raw_support_size,representation_counts,size_Sx,size_Sy,size_sumset,max_representation_count,additive_energy,support_density_x,support_density_y,diameter_x,diameter_y,raw_mass_total,max_raw_mass,diagonal_mass_entropy,diagonal_mass_concentration,carry_mass,carry_count,carry_depth,carry_entropy,carry_amplification_ratio,max_carry_cascade_length,value_weighted_carry,normalized_value_weighted_carry
1,4550000140,3040400060,10,0.5,10,15,"{2: 1, 3: 1, 6: 1, 7: 1, 8: 2, 9: 2, 10: 2, 11: 1, 12: 1, 13: 1, 14: 2, 15: 1, 16: 2, 17: 1, 18: 1}",5,4,15,2,30,0.5555555555555556,0.4444444444444444,8,8,323,46,3.6415370126914626,0.14241486068111456,27,12,19,3.457867131472584,0.08359133126934984,7,11323220334010002000,0.8185172108750898
2,8303100000,4070060610,10,0.5,10,13,"{6: 1, 7: 2, 8: 1, 9: 2, 10: 3, 11: 1, 12: 2, 13: 2, 14: 1, 15: 2, 16: 1, 17: 1, 18: 1}",4,5,13,3,36,0.8,0.5555555555555556,4,8,360,69,3.2677099986870353,0.19166666666666668,34,11,19,3.1717149615513023,0.09444444444444444,11,31531735411000000000,0.9330538915321711
3,2000001310,2872402045,10,0.5,10,17,"{1: 1, 2: 2, 3: 2, 4: 2, 5: 1, 6: 2, 7: 2, 8: 3, 9: 4, 10: 4, 11: 2, 12: 2, 14: 1, 15: 1, 16: 1, 17: 1, 18: 1}",4,8,17,4,76,0.4444444444444444,0.8,8,9,238,41,3.7075855324054796,0.1722689075630252,15,9,18,2.8402239289418523,0.06302521008403361,5,1100001441100011000,0.19147749920912255
4,1703000069,6900714320,10,0.5,10,18,"{1: 1, 2: 2, 3: 2, 4: 2, 5: 2, 6: 1, 7: 1, 8: 2, 9: 4, 10: 4, 11: 3, 12: 2, 13: 2, 14: 2, 15: 1, 16: 1, 17: 2, 18: 1}",5,7,18,4,83,0.5,0.7777777777777778,9,8,832,134,3.8491772479224657,0.16105769230769232,83,18,19,3.8377698562024087,0.09975961538461539,18,15623515849147354100,1.3294440301264459
5,3000005800,6201100050,10,0.5,10,12,"{3: 1, 4: 1, 7: 1, 8: 2, 9: 1, 10: 2, 11: 2, 12: 1, 14: 1, 15: 1, 17: 1, 18: 1}",3,5,12,2,21,0.375,0.5555555555555556,7,8,240,58,3.1014039848068644,0.24166666666666667,20,7,19,2.5709505944546684,0.08333333333333333,3,10000036301000240000,0.5375399465150329
6,5000490009,5871500000,10,0.5,10,14,"{5: 1, 6: 1, 7: 1, 8: 1, 9: 2, 10: 2, 11: 2, 12: 2, 13: 2, 14: 2, 15: 1, 16: 1, 17: 1, 18: 1}",4,5,14,2,32,0.4,1.0,9,4,702,100,3.5547406113666873,0.14245014245014245,70,14,19,3.562414940462801,0.09971509971509972,14,24315907397614000000,0.8281878439388936
7,2057380059,2090000000,10,0.5,10,11,"{7: 1, 8: 1, 9: 1, 10: 1, 11: 1, 12: 1, 13: 2, 14: 2, 15: 1, 16: 2, 18: 1}",7,2,11,2,20,0.7,0.6666666666666666,9,2,429,81,3.0927195916288177,0.1888111888111888,42,10,17,3.020278067887324,0.0979020979020979,10,215837125800000000,0.05019556382188901
8,4018010570,5000001032,10,0.5,10,16,"{1: 1, 2: 2, 3: 1, 4: 2, 5: 2, 6: 1, 7: 3, 8: 1, 9: 2, 10: 3, 11: 1, 12: 1, 13: 1, 15: 1, 16: 1, 18: 1}",6,4,16,3,44,0.6666666666666666,0.4,8,9,286,48,3.6358777704861365,0.16783216783216784,22,11,19,3.2433003685389576,0.07692307692307693,4,20040002410210113100,0.9975084895784367
9,1663470500,3000900000,10,0.5,10,11,"{7: 1, 9: 1, 10: 1, 11: 2, 12: 1, 13: 2, 14: 2, 15: 1, 16: 1, 17: 1, 18: 1}",7,2,11,2,20,0.875,0.4,7,4,384,75,3.1426131213633406,0.1953125,36,10,18,3.027719015921097,0.09375,9,1112854460400000000,0.22293165687614006
10,2003001000,5800678704,10,0.5,10,14,"{3: 1, 5: 1, 6: 2, 7: 1, 8: 2, 9: 2, 10: 1, 11: 3, 12: 2, 13: 1, 14: 2, 15: 1, 17: 1, 18: 1}",3,7,14,3,37,0.42857142857142855,0.7,6,9,270,40,3.5778494571956423,0.14814814814814814,22,11,19,3.299896391167891,0.08148148148148149,8,11013124232020000000,0.947873891931654
11,9993050500,4007000007,10,0.5,10,15,"{2: 1, 4: 1, 6: 1, 7: 1, 8: 2, 9: 1, 10: 1, 11: 1, 12: 1, 13: 2, 14: 1, 15: 2, 16: 1, 17: 1, 18: 1}",6,3,15,2,24,0.75,0.3,7,9,720,98,3.7389646859918875,0.1361111111111111,74,15,19,3.7291587728406532,0.10277777777777777,13,44487822480620303000,1.1110247246234581
12,3007704000,5009020208,10,0.5,10,13,"{3: 1, 5: 2, 6: 1, 7: 2, 8: 1, 9: 3, 10: 1, 11: 2, 12: 2, 13: 1, 14: 1, 15: 2, 18: 1}",4,5,13,3,36,0.5714285714285714,0.5,6,9,546,83,3.402574852981382,0.152014652014652,54,13,19,3.3868987255135607,0.0989010989010989,11,10063197271266030000,0.6679563904640828
13,2000000289,8400093030,10,0.5,10,14,"{1: 1, 2: 1, 3: 2, 4: 2, 5: 2, 6: 1, 8: 1, 9: 2, 10: 3, 11: 1, 12: 1, 13: 1, 17: 1, 18: 1}",4,5,14,3,34,0.4,0.5555555555555556,9,8,567,105,3.342981468492756,0.18518518518518517,52,12,19,3.162971700793512,0.09171075837742504,6,10000102903029032200,0.595237542149838
14,3000206002,8008659204,10,0.5,10,16,"{0: 1, 2: 1, 3: 2, 4: 1, 5: 3, 6: 2, 7: 2, 8: 2, 9: 4, 10: 1, 11: 2, 12: 2, 13: 1, 14: 2, 15: 1, 18: 1}",4,7,16,4,60,0.4,0.7,9,9,546,86,3.640217585072657,0.1575091575091575,53,14,19,3.559020277194312,0.09706959706959707,13,20023272295473140000,0.8333437152279366
15,9509060400,8184007020,10,0.5,10,14,"{3: 1, 5: 2, 7: 2, 8: 1, 9: 3, 10: 3, 11: 3, 12: 3, 13: 2, 14: 2, 15: 3, 16: 2, 17: 2, 18: 1}",5,6,14,3,72,0.625,0.6666666666666666,7,8,990,148,3.541989069893313,0.1494949494949495,103,13,19,3.5223110179299724,0.10404040404040404,12,76055422602604000000,0.9772970427831132
16,7040506010,2000200001,10,0.5,10,12,"{1: 1, 3: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1, 10: 2, 12: 2, 14: 2, 16: 1, 18: 1}",5,3,12,2,21,0.5555555555555556,0.3,8,9,115,24,3.2229628268197126,0.20869565217391303,7,5,19,2.2359263506290326,0.06086956521739131,1,10002020101000000000,0.7102486653512629
17,3089800249,3000970660,10,0.5,10,17,"{1: 1, 2: 2, 3: 2, 4: 2, 5: 2, 6: 3, 7: 3, 8: 2, 9: 3, 10: 4, 11: 4, 12: 1, 13: 1, 14: 2, 15: 1, 16: 1, 18: 1}",7,5,17,4,89,0.7,0.5555555555555556,9,8,1333,165,3.809186905715263,0.12378094523630907,137,16,17,3.759821489446025,0.10277569392348088,16,235298852411748500,0.025376262363514375
18,6034005050,4000300120,10,0.5,10,15,"{2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 3, 9: 1, 10: 2, 11: 2, 12: 2, 14: 1, 15: 1, 16: 1, 18: 1}",5,4,15,3,32,0.5555555555555556,0.4444444444444444,8,8,230,32,3.6664905163188766,0.1391304347826087,18,11,19,3.3082708345352603,0.0782608695652174,3,20111032302010101000,0.8331747868052853
